time,speed,acceleration,force,power,distance
2.059999943,4.710000038,-5.739999771,5.980000019,28.15999985,6.449999809
2.079999924,4.659999847,-2.710000038,6.170000076,28.77000046,6.539999962
2.099999905,4.699999809,2.089999914,6.269999981,29.47999954,6.639999866
2.119999886,4.849999905,7.789999962,6.079999924,29.46999931,6.75
2.140000105,5.110000134,12.77999973,5.590000153,28.54000092,6.860000134
2.160000086,5.400000095,14.38000011,4.900000095,26.45999908,6.980000019
2.180000067,5.670000076,13.76000023,4.019999981,22.78000069,7.099999905
2.200000048,5.860000134,9.239999771,3.039999962,17.79999924,7.21999979
2.220000029,5.920000076,3.309999943,2.160000086,12.76000023,7.340000153
2.24000001,5.880000114,-1.980000019,1.570000052,9.220000267,7.449999809
2.25999999,5.78000021,-5.070000172,1.269999981,7.360000134,7.559999943
2.279999971,5.670000076,-5.769999981,1.370000005,7.78000021,7.670000076
2.299999952,5.590000153,-3.980000019,1.860000014,10.40999985,7.78000021
2.319999933,5.610000134,0.910000026,2.549999952,14.28999996,7.900000095
2.339999914,5.769999981,8.029999733,3.230000019,18.65999985,8.020000458
2.359999895,6,11.75,3.720000029,22.34000015,8.159999847
2.380000114,6.25,12.5,3.920000076,24.5,8.289999962
2.400000095,6.480000019,11.46000004,3.720000029,24.12999916,8.430000305
2.420000076,6.619999886,7.050000191,3.230000019,21.40999985,8.56000042
2.440000057,6.630000114,0.109999999,2.650000095,17.54000092,8.68999958
2.460000038,6.550000191,-3.859999895,2.160000086,14.11999989,8.81000042
2.480000019,6.429999828,-6.079999924,1.960000038,12.60000038,8.93999958
2.5,6.28000021,-7.170000076,2.160000086,13.53999996,9.06000042
2.519999981,6.130000114,-7.489999771,2.650000095,16.21999931,9.170000076
2.539999962,5.980000019,-7.71999979,3.230000019,19.34000015,9.289999962
2.559999943,5.829999924,-7.289999962,3.920000076,22.85000038,9.399999619
2.579999924,5.690000057,-7.28000021,4.510000229,25.64999962,9.510000229
2.599999905,5.550000191,-6.849999905,5,27.73999977,9.619999886
2.619999886,5.409999847,-6.840000153,5.389999866,29.15999985,9.720000267
2.640000105,5.289999962,-6.070000172,5.590000153,29.54999924,9.819999695
2.660000086,5.170000076,-5.920000076,5.679999828,29.38999939,9.920000076
2.680000067,5.090000153,-4,5.679999828,28.93000031,10.02000046
2.700000048,5.070000172,-1.100000024,5.679999828,28.81999969,10.11999989
2.720000029,5.119999886,2.539999962,5.489999771,28.10000038,10.22999954
2.74000001,5.230000019,5.329999924,5.099999905,26.64999962,10.34000015
2.75999999,5.360000134,6.730000019,4.610000134,24.69000053,10.46000004
2.779999971,5.489999771,6.230000019,3.920000076,21.52000046,10.56999969
2.799999952,5.570000172,3.900000095,3.039999962,16.92000008,10.68000031
2.819999933,5.570000172,0,2.349999905,13.10000038,10.78999996
2.839999914,5.5,-3.230000019,1.860000014,10.23999977,10.89999962
2.859999895,5.400000095,-5.010000229,1.669999957,9,11
2.880000114,5.289999962,-5.760000229,1.860000014,9.850000381,11.10000038
2.900000095,5.159999847,-6.210000038,2.349999905,12.14000034,11.19999981
2.920000076,5.039999962,-5.869999886,3.039999962,15.31000042,11.30000019
2.940000057,4.929999828,-5.789999962,3.920000076,19.32999992,11.39000034
2.960000038,4.809999943,-5.849999905,4.610000134,22.14999962,11.47999954
2.980000019,4.690000057,-6.139999866,5.190000057,24.36000061,11.56999969
