setId,rep_number,time,position,speed,acceleration,force
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.729985416,-113.7183762,4.812816143,11.75790119,14.19297886
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.734985292,-113.7427292,4.871328831,11.70256519,14.26734924
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.739985228,-113.7673721,4.929194927,11.57322121,14.43701172
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.744985104,-113.792305,4.986113548,11.38372231,14.68336201
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.74998498,-113.8175125,5.041941643,11.16563034,14.96549988
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.754984915,-113.8430023,5.096746922,10.96106339,15.22957325
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.759984791,-113.8687515,5.150812149,10.81295967,15.41991043
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.764984727,-113.8947754,5.20458889,10.75536251,15.49323177
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.769984603,-113.9210663,5.258615017,10.805233,15.42957592
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.774984479,-113.9476395,5.313399792,10.95696545,15.23653889
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.779984415,-113.9744797,5.369308949,11.18185806,14.9514761
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.784984291,-114.0016174,5.426467896,11.4317503,14.63733864
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.789984226,-114.0290375,5.484703541,11.64719963,14.3708725
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.794984102,-114.0567551,5.543513298,11.76195335,14.2359581
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.799983978,-114.0847702,5.602076054,11.71248341,14.31420803
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.804983914,-114.11306,5.659293175,11.44346428,14.67615414
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.80998379,-114.1416321,5.713827133,10.90674591,15.39083862
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.814983726,-114.1704559,5.764150143,10.06459999,16.51709938
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.819983602,-114.1994934,5.808576107,8.885270119,18.11511803
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.824983478,-114.2287216,5.845323563,7.349478245,20.24744987
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.829983413,-114.2580872,5.87263155,5.461560249,22.96425629
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.834983289,-114.287529,5.888905048,3.254719734,26.29241943
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.839983225,-114.3169937,5.892885208,0.796033084,30.21642113
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.844983101,-114.3464127,5.883822918,-1.81242919,34.66353226
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.849982977,-114.3757248,5.861608982,-4.442864418,39.50003433
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.854982913,-114.4048538,5.826828957,-6.955990314,44.53786087
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.859982789,-114.4337616,5.780766487,-9.212486267,49.54362488
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.864982724,-114.4623871,5.725344658,-11.08433628,54.25106812
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.8699826,-114.4906998,5.66302824,-12.46332836,58.37923431
